path,fileCount,totalSizeBytes,totalCompressedSizeBytes
assets/songs/dl_nirvluce,3,763923,763923
assets/songs/dl_nnglooms,3,654732,654732
assets/songs/dl_nowayback,3,1072159,1072159
assets/songs/dl_nulctrl,3,653300,653300
assets/songs/dl_nullapophenia,3,775312,775312
assets/songs/dl_oblivion,3,681814,681814
assets/songs/dl_odysseia,3,698127,698127
assets/songs/dl_oldschoolsalvage,3,1027706,1027706
assets/songs/dl_omajinai,3,798432,798432
assets/songs/dl_omakeno,3,769157,769157
assets/songs/dl_omegafour,3,766397,766397
assets/songs/dl_onandon,3,772386,772386
assets/songs/dl_onefr,3,776777,776777
assets/songs/dl_onestepcloser,3,762006,762006
assets/songs/dl_oracle,3,696323,696323
assets/songs/dl_oshamascramble,3,652476,652476
assets/songs/dl_ouroboros,3,894404,894404
assets/songs/dl_ouverture,3,988691,988691
assets/songs/dl_overdrive,3,748962,748962
assets/songs/dl_override,3,818536,818536
assets/songs/dl_overwhelm,3,788915,788915
assets/songs/dl_paperwitch,3,789387,789387
assets/songs/dl_paradise,3,699897,699897
assets/songs/dl_paradoxpalette,3,1027396,1027396
assets/songs/dl_paranoidarc,3,1036915,1036915
assets/songs/dl_particle,3,707531,707531
assets/songs/dl_partyvinyl,5,1191644,1191644
assets/songs/dl_pentiment,3,1050441,1050441
assets/songs/dl_phantasia,3,790132,790132
assets/songs/dl_picopicotranslation,3,1147557,1147557
assets/songs/dl_placebobattler,3,1172474,1172474
assets/songs/dl_pragmatism,7,5577626,5577626
assets/songs/dl_prayer,3,834044,834044
assets/songs/dl_primevaltexture,3,764752,764752
assets/songs/dl_primitivelights,3,937632,937632
assets/songs/dl_prism,7,1480871,1480871
assets/songs/dl_protoflicker,7,1454565,1454565
assets/songs/dl_pupa,3,657072,657072
assets/songs/dl_purpleverse,5,1038208,1038208
assets/songs/dl_qovat,3,861751,861751
assets/songs/dl_qualia,5,698096,698096
assets/songs/dl_quon,3,863896,863896
assets/songs/dl_quonwacca,3,733274,733274
assets/songs/dl_rabbitintheblackroom,3,726527,726527
assets/songs/dl_rainofconflict,3,934708,934708
