chapterOrder,chapterCode,banner,songOrder,songsId,songsKey,songsName,composer,category,unlockType,secretType,levels,difficulty,illustrator,charter
1,Single,Single,73,EternalSnow.AbyssIdols.0,Eternal Snow,Eternal Snow,Abyss Idols,extraSongs,1,0,EZ|HD|IN|AT,4.0|9.6|13.5|0.0,Sak,M3d1uM|M3d1uM|JKy|
1,Single,Single,74,BraveNotes.TurquoiseDRIVENota.0,Brave Notes,Brave Notes,Turquoise(DRIVE.+Nota),extraSongs,1,0,EZ|HD|IN|AT,5.5|11.4|14.6|0.0,林语,Brave Eaimo|Brave Eaimo|Brave Eaimo|
1,Single,Single,75,csqn.Aoi.0,c.s.q.n.,c.s.q.n.,Aoi,extraSongs,1,0,EZ|HD|IN|AT,5.0|12.2|15.9|0.0,Ctymax vs. TNiK feat. 出前,b.b.n.m.|h.o.m.e.e.e.|s.t.p.g.|
1,Single,Single,76,DataErr0r.Cosmograph.0,DataErr0r,DataErr0r,Cosmograph,extraSongs,1,0,EZ|HD|IN|AT,6.0|11.8|14.5|0.0,Photonskyto,[!!12:l<l<ο!!]|Rikko|TangScend -Err0rederci-|
1,Single,Single,77,OnAndOn.ETIAfeatJenga.0,On And On!!,On And On!!,ETIA. feat. Jenga,extraSongs,1,0,EZ|HD|IN|AT,5.0|9.6|15.2|0.0,わっふゑ,Rikko|Rikko|NerSAN feat. Takanashi Rikko|
1,Single,Single,78,月下缭乱.月見静華vsLUNARiUM.0,月下缭乱,月下缭乱,月見静華 vs. LUNARiUM,extraSongs,1,0,EZ|HD|IN|AT,4.5|9.4|14.9|0.0,TNiK,XMT小咩兔|XMT小咩兔|iv|
1,Single,Single,79,いざ参ります.Uskefeat棗いつき.0,いざ、参ります,いざ、参ります,U-ske feat. 棗いつき,extraSongs,1,0,EZ|HD|IN|AT,3.5|9.2|15.0|0.0,緑風マルト,Clutter & Barbarianerman|Clutter & Barbarianerman|小咩兔、参上|
1,Single,Single,80,opia.rN.0,opia,opia,rN,extraSongs,1,0,EZ|HD|IN|AT,5.5|10.6|15.6|0.0,rN @ 湯元画伯,BlindForest|BlindForest 『Observing』|Jeitie & CorruptedEntity 『Hollow』|
1,Single,Single,81,IMustSayNo.TangJuan.0,I Must Say No,I Must Say No,TangJuan,extraSongs,1,0,EZ|HD|IN|AT,1.5|9.2|13.5|0.0,cycats,Likey|JKy|Likey & 百九十八|
1,Single,Single,82,FULiAUTOBUSTER.MYUKKE.0,FULi AUTO BUSTER,FULi AUTO BUSTER,MYUKKE.,extraSongs,1,0,EZ|HD|IN|AT,3.5|9.7|14.6|0.0,cycats,M3d1uM & 百九十八|M3d1uM & 百九十八|百九十八 busting 阿爽|
