sourcePath,sourceFile,unityVersion,pathId,name,width,height,textureFormat,catalogKeys,readError
assets/aa/Android/0eb1a977dc442a59db8c8acd30b8fc37.bundle,0eb1a977dc442a59db8c8acd30b8fc37.bundle,2022.3.62f2,2548625906051857951,Glitch4in1,512,512,3,4eb8f4be195de014fa4e2068a43b2ff0;LevelMod/TheChariotLevelEffect,
assets/aa/Android/0eb1a977dc442a59db8c8acd30b8fc37.bundle,0eb1a977dc442a59db8c8acd30b8fc37.bundle,2022.3.62f2,7888063211899187710,MessagePanel,870,75,4,4eb8f4be195de014fa4e2068a43b2ff0;LevelMod/TheChariotLevelEffect,
assets/aa/Android/0eb1c1b982d3d125bc14f3028b10e96c.bundle,0eb1c1b982d3d125bc14f3028b10e96c.bundle,2022.3.62f2,1703517747046939478,IllustrationBlur,256,135,3,9968a19d32638af46b992e5cc1c09161;Assets/Tracks/雪降り雪が降っている.AiSSw夜輪ft結月ゆかり.0/IllustrationBlur.jpg,
assets/aa/Android/0f17204aa903b27c268fb59a63920a06.bundle,0f17204aa903b27c268fb59a63920a06.bundle,2022.3.62f2,4787216465196663790,IllustrationLowRes,512,270,3,Assets/Tracks/RubbishSorting.CtymaxvsNceS.0/IllustrationLowRes.jpg;cab97b63dba71c34a8994fa45d84a8ac,
assets/aa/Android/0f2abc6b9a154c8fa8cda9d2e1a09acd.bundle,0f2abc6b9a154c8fa8cda9d2e1a09acd.bundle,2022.3.62f2,6168590979476439476,IllustrationBlur,256,135,3,90d8e00325ff42d4caa2a2de182ab7da;Assets/Tracks/Burn.NceS.0/IllustrationBlur.jpg,
assets/aa/Android/0fcc149780bd5e253cc6d40092e3e052.bundle,0fcc149780bd5e253cc6d40092e3e052.bundle,2022.3.62f2,-5791806659348575864,IllustrationLowRes,512,270,3,12a49b4a9d08d794a880cbce37f70dfd;Assets/Tracks/CervelleConnexion.SCTL.0/IllustrationLowRes.jpg,
assets/aa/Android/0fd2c51fd79b1e415f0f320f4468dab6.bundle,0fd2c51fd79b1e415f0f320f4468dab6.bundle,2022.3.62f2,-8187141711356165812,Illustration,2048,1080,3,6c70d1f8056ce15408fec48f64ab2ca3;Assets/Tracks/TheWholeRest.KIVΛ.0/Illustration.jpg,
assets/aa/Android/0ff6225479c7ae199c20186075175a26.bundle,0ff6225479c7ae199c20186075175a26.bundle,2022.3.62f2,6352602308228617047,IllustrationLowRes,512,270,3,Assets/Tracks/黄金之城GOLDTOWN.Memme.0/IllustrationLowRes.jpg;a20d1f535142cf44a8cba7930cbc6bc8,
assets/aa/Android/101fa72d013f0dadf3ae0666b03323b9.bundle,101fa72d013f0dadf3ae0666b03323b9.bundle,2022.3.62f2,-6742115711419026585,IllustrationBlur,256,135,3,7f86d11fece2f1f4fac227b0f9fd609e;Assets/Tracks/PRAGMATISMRESURRECTION.Laur.0/IllustrationBlur.jpg,
assets/aa/Android/102662f35eb0cf69a35cae34bdeb4689.bundle,102662f35eb0cf69a35cae34bdeb4689.bundle,2022.3.62f2,3060292038631149458,Illustration,2048,1080,3,Assets/Tracks/000AinSophAur.Yumeji.0/Illustration.jpg;bf46b6b05926e214bbbad59ff7d50bbe,
assets/aa/Android/103e0278f5597b48f34f7583f37427db.bundle,103e0278f5597b48f34f7583f37427db.bundle,2022.3.62f2,-42734809500487054,IllustrationBlur,256,135,3,41afc55dde451ef4db38cef4b0ed9abd;Assets/Tracks/彩.MisoilePunch.0/IllustrationBlur.jpg,
assets/aa/Android/10c0cc241f80242f117b8c4c05db9042.bundle,10c0cc241f80242f117b8c4c05db9042.bundle,2022.3.62f2,-6427419427174120504,IllustrationBlur,256,135,3,2f254e1cf7e1b5e46852e79851e020e2;Assets/Tracks/PixelRebelz.Normal1zer.0/IllustrationBlur.jpg,
assets/aa/Android/10d213634e3271eade27abfb79a93b54.bundle,10d213634e3271eade27abfb79a93b54.bundle,2022.3.62f2,-2652601559137295130,IllustrationLowRes,512,270,3,998caf5837a73c34c875f8e580edfac5;Assets/Tracks/DancewithSilence.かめりあ.0/IllustrationLowRes.jpg,
assets/aa/Android/115996522d75980c106d996a95be9202.bundle,115996522d75980c106d996a95be9202.bundle,2022.3.62f2,6636190338646451304,Illustration,2048,1080,3,Assets/Tracks/PANICPARADISE.DJSHIONY.0/Illustration.jpg;d695dbf1e0051fd43bcd21f7603ef864,
assets/aa/Android/118e23ecd7b5f9c6eea6ab2b06034d72.bundle,118e23ecd7b5f9c6eea6ab2b06034d72.bundle,2022.3.62f2,-2317726220711274447,Illustration,2048,1080,3,Assets/Tracks/Shelter.MeatyRabbitNceS.0/Illustration.jpg;dcb626786b1e8264588b5c5835d12d2d,
assets/aa/Android/119c57e5f722e586be20a3ac4d90e447.bundle,119c57e5f722e586be20a3ac4d90e447.bundle,2022.3.62f2,-1526083928536159695,Illustration,2048,1080,3,03ec14211b5c7dd4fbd8935b99fdb905;Assets/Tracks/EradicationCatastrophe.NceS.0/Illustration.jpg,
assets/aa/Android/11c8314138230728e71ae12677ad57be.bundle,11c8314138230728e71ae12677ad57be.bundle,2022.3.62f2,9091912900709359945,IllustrationBlur,256,135,3,603dc0206b85b2a4b94052576813b881;Assets/Tracks/祈-我ら神祖と共に歩む者なり-.光吉猛修VS穴山大輔VSKaiVS水野健治VS大国奏音.0/IllustrationBlur.jpg,
assets/aa/Android/11ee639de328e823d095e71d352a2e76.bundle,11ee639de328e823d095e71d352a2e76.bundle,2022.3.62f2,-5568870950684943088,ShineAfter_鸠_Special_Avatar,128,128,34,11efd27a6ae98be4e9303fc91aa36c1e;avatar.ShineAfter_鸠_Special_Avatar,
assets/aa/Android/1225be143d4ccbcd040e220acd738b37.bundle,1225be143d4ccbcd040e220acd738b37.bundle,2022.3.62f2,-6312444098302084565,IllustrationBlur,256,135,3,4eb36063043ce2c4098bdb67e45c678b;Assets/Tracks/Chronologika.Hundotte.0/IllustrationBlur.jpg,
assets/aa/Android/1269f02d332409bbf24e915d9db0fdbd.bundle,1269f02d332409bbf24e915d9db0fdbd.bundle,2022.3.62f2,-5032309284291698729,IllustrationBlur,256,135,3,Assets/Tracks/Xenolith.Tatsh.0/IllustrationBlur.jpg;d655d1cce7abf8f45b0f77117b77e4b9,
assets/aa/Android/12a3ab0a11edc6c2bb9d24863f95aab2.bundle,12a3ab0a11edc6c2bb9d24863f95aab2.bundle,2022.3.62f2,869390930581429331,MainStory6Blur,1024,540,3,63aba2a1419bcb741a684ce4ce76ad55;Assets/Tracks/#ChapterCover/MainStory6Blur.jpg,
assets/aa/Android/12a4882e9b5efa2c9e6d7318a7978b12.bundle,12a4882e9b5efa2c9e6d7318a7978b12.bundle,2022.3.62f2,-9121479078769166126,cycats_1,128,128,34,8041661aed934514f8d8fcc6896e7f8d;avatar.cycats_1,
assets/aa/Android/12e0e9b484412983cbae8f904ac1b36f.bundle,12e0e9b484412983cbae8f904ac1b36f.bundle,2022.3.62f2,-642667683014423361,IllustrationLowRes,512,270,3,832d86f848e22164c914f2d32b721d42;Assets/Tracks/Igallta.SeURa.0/IllustrationLowRes.jpg,
assets/aa/Android/12eb4cb63e56cca316a31d0c655f0e99.bundle,12eb4cb63e56cca316a31d0c655f0e99.bundle,2022.3.62f2,-8680232348209527776,Illustration,2048,1080,3,Assets/Tracks/KIZUNAResolution.TAG.0/Illustration.jpg;b80171882099f0040aab916368eda176,
assets/aa/Android/13635d51a106aee30e15f2347cdd55a9.bundle,13635d51a106aee30e15f2347cdd55a9.bundle,2022.3.62f2,-4080320576359919540,IllustrationBlur,256,135,3,Assets/Tracks/KirakiraNoelStory.RekuMochizuki.0/IllustrationBlur.jpg;fd1a8e28292f27249a0fa64535476001,
assets/aa/Android/1375cd783641cfb950d1023cc9091ae5.bundle,1375cd783641cfb950d1023cc9091ae5.bundle,2022.3.62f2,-1313612640313722056,瓷岁3,128,128,34,4a07fc9b716496f4d9c743afa88f1334;avatar.瓷岁3,
